uid,up主昵称,B站地址,番茄指数,粉丝总数,作品总数,充电总人数,一级分类,二级分类
543931452,古呀老师,https://space.bilibili.com/543931452,3544.5,1152130,119,741,生活,搞笑
504934876,渤海小吏,https://space.bilibili.com/504934876,3557,1151802,19,1182,知识,人文历史
504648459,贫穷料理,https://space.bilibili.com/504648459,3542.6,1151442,284,99,美食,美食制作
1629347259,红警HBK08,https://space.bilibili.com/1629347259,3537.2,1151189,1693,33721,游戏,单机游戏
5260378,白勺啊达,https://space.bilibili.com/5260378,3564.7,1150141,226,743,鬼畜,人力VOCALOID
8372353,大米评测,https://space.bilibili.com/8372353,3545.9,1149374,420,4086,科技,数码
20706631,淮秀帮,https://space.bilibili.com/20706631,3545.4,1149050,398,431,生活,搞笑
20603745,其人,https://space.bilibili.com/20603745,3546,1148800,110,1341,动画,短片·手书·配音
35304890,吃鸡陪玩酱,https://space.bilibili.com/35304890,3537.2,1148608,633,853,游戏,网络游戏
9303228,江湖举人,https://space.bilibili.com/9303228,3551.6,1148137,224,1131,知识,人文历史
37199377,沧桑丸,https://space.bilibili.com/37199377,3543,1147745,95,1087,游戏,单机游戏
594534726,LPL战术小黑板,https://space.bilibili.com/594534726,3540.6,1147332,528,1596,游戏,电子竞技
390898500,一目十影,https://space.bilibili.com/390898500,3540.1,1145636,310,486,影视,影视杂谈
361775100,怪力老陈,https://space.bilibili.com/361775100,3548.9,1144367,268,614,时尚,服饰
8365699,郭本尼,https://space.bilibili.com/8365699,3568.4,1144046,223,719,娱乐,综艺
249608727,杨可爱Ukulele,https://space.bilibili.com/249608727,3604.2,1143496,149,2879,音乐,翻唱
11799651,利利川,https://space.bilibili.com/11799651,3544.8,1143172,180,409,知识,人文历史
335850246,玉渊谭天,https://space.bilibili.com/335850246,3540.9,1141507,182,476,资讯,热点
14068111,黝黑蜗壳天眼老师,https://space.bilibili.com/14068111,3549.9,1137575,157,656,动画,综合
283753310,notyour_kei,https://space.bilibili.com/283753310,3547.2,1136261,138,1398,生活,日常
488779255,动漫作业本,https://space.bilibili.com/488779255,3536.8,1136105,480,1908,动画,综合
55775966,音阙诗听,https://space.bilibili.com/55775966,3559.9,1135075,153,971,音乐,原创音乐
291415305,杂乱无章MessUp,https://space.bilibili.com/291415305,3545.7,1134729,150,335,动画,短片·手书·配音
37349250,咸鱼_栗,https://space.bilibili.com/37349250,3548.7,1134339,209,1024,音乐,演奏
412058684,小帅家的大狼狗们,https://space.bilibili.com/412058684,3534.2,1133810,682,69,生活,动物综合
152015773,瘦不了猫,https://space.bilibili.com/152015773,3562,1132435,91,275,时尚,健身
13677047,Piano莱特,https://space.bilibili.com/13677047,3558,1131787,418,407,音乐,演奏
27899754,贪玩歌姬小宁子,https://space.bilibili.com/27899754,3541.2,1130449,233,4647,游戏,单机游戏
75,丸子,https://space.bilibili.com/75,3546.7,1130322,1448,25111,游戏,手机游戏
404439515,原神百晓生,https://space.bilibili.com/404439515,3539.4,1130208,1516,432,游戏,手机游戏
96070394,推背兔の,https://space.bilibili.com/96070394,3592.7,1130095,225,902,鬼畜,鬼畜剧场
72209046,央视纪录,https://space.bilibili.com/72209046,3538.7,1129414,1717,,纪录片,人文·历史
526106597,考研英语田静,https://space.bilibili.com/526106597,3534.7,1128765,786,135,知识,校园学习
431615976,聂小倩她老板,https://space.bilibili.com/431615976,3545.8,1128357,477,316,时尚,美妆
4379633,李青仪,https://space.bilibili.com/4379633,3552,1127733,82,852,生活,绘画
477631979,vansamaofficial,https://space.bilibili.com/477631979,3550.4,1127224,238,5427,生活,日常
236711132,大师的菜,https://space.bilibili.com/236711132,3544.1,1127023,551,583,美食,美食制作
8580411,翼下之风动漫,https://space.bilibili.com/8580411,3556.1,1126892,226,,国创,国产原创相关
525952604,柯洁,https://space.bilibili.com/525952604,3536.4,1126733,29,1370,游戏,桌游棋牌
1447574,洛少爷,https://space.bilibili.com/1447574,3580.9,1123566,271,5449,音乐,翻唱
515155585,新华社快看,https://space.bilibili.com/515155585,3543,1123180,4641,358,资讯,热点
174890586,魔鬼厨房DK,https://space.bilibili.com/174890586,3536.4,1122966,458,273,美食,美食制作
33488229,扁豆看电影,https://space.bilibili.com/33488229,3542.2,1121085,337,839,影视,影视杂谈
415403269,internet-boy,https://space.bilibili.com/415403269,3558.1,1120826,5050,193,生活,日常
87721937,元气骑士,https://space.bilibili.com/87721937,3534.5,1120688,74,45,游戏,手机游戏
7223194,林簌SUSU,https://space.bilibili.com/7223194,3545,1120325,258,888,生活,日常
688379639,考研数学武忠祥老师,https://space.bilibili.com/688379639,3537.7,1120237,992,,知识,校园学习
231896831,领克汽车,https://space.bilibili.com/231896831,3532,1119933,306,98,生活,日常
51031539,陈大白,https://space.bilibili.com/51031539,3535.2,1117448,1324,478,游戏,手机游戏
474595627,CSGO赛事菌,https://space.bilibili.com/474595627,3532.3,1117436,780,,游戏,电子竞技
508963009,HiiroVTuber,https://space.bilibili.com/508963009,3547.2,1117298,143,5861,动画,综合
85997303,池袋第一深情-,https://space.bilibili.com/85997303,3534,1116778,140,,生活,日常
378034,楽小漫,https://space.bilibili.com/378034,3567.7,1116743,180,3478,舞蹈,宅舞
41637666,洛杉矶嬴政W,https://space.bilibili.com/41637666,3536.2,1116612,350,143,生活,日常
565157366,作文素材每日读,https://space.bilibili.com/565157366,3539.4,1114476,716,47,知识,校园学习
527145352,龙飞律师,https://space.bilibili.com/527145352,3534.4,1114288,572,,知识,社科·法律·心理
474390659,AlanWalker官方频道,https://space.bilibili.com/474390659,3548.4,1114073,66,,音乐,音乐综合
2522486,涛哥测评,https://space.bilibili.com/2522486,3536.7,1112967,580,537,动画,手办·模玩
384298638,浙江共青团,https://space.bilibili.com/384298638,3550.8,1111442,1488,679,资讯,社会
258844831,CCTV_国家宝藏,https://space.bilibili.com/258844831,3555.4,1109594,524,,娱乐,综艺
430969192,方锦龙,https://space.bilibili.com/430969192,3558.6,1108567,171,,娱乐,明星
544126329,国家大剧院,https://space.bilibili.com/544126329,3551.8,1107243,261,258,音乐,音乐现场
553425,拯救世界的狗子,https://space.bilibili.com/553425,3563.5,1106881,339,270,音乐,翻唱
16054375,自动鬼畜中的WZ,https://space.bilibili.com/16054375,3571.4,1105887,229,467,鬼畜,人力VOCALOID
444348914,稻草放毒,https://space.bilibili.com/444348914,3539.3,1104880,234,,美食,美食制作
14333871,吐嚎影院,https://space.bilibili.com/14333871,3544.3,1103499,310,3861,影视,影视杂谈
37880130,玩音乐的EZ,https://space.bilibili.com/37880130,3562.7,1101454,346,361,音乐,演奏
90920075,酷玩实验室,https://space.bilibili.com/90920075,3546.1,1100734,87,442,知识,财经商业
37746255,多拉的十九N,https://space.bilibili.com/37746255,3547.9,1099590,282,1016,美食,美食制作
46622315,老撕鸡,https://space.bilibili.com/46622315,3533.8,1096616,1355,552,游戏,手机游戏
1429723107,索尼中国,https://space.bilibili.com/1429723107,3537.1,1096593,504,135,科技,数码
324879,CRAZY262,https://space.bilibili.com/324879,3546.7,1096409,918,1524,知识,人文历史
492628109,尹正,https://space.bilibili.com/492628109,3550.8,1095589,42,23,娱乐,明星
395415494,熬一耶ye,https://space.bilibili.com/395415494,3538.1,1095366,213,135,生活,搞笑
3530725,陈抱一,https://space.bilibili.com/3530725,3544.6,1094835,201,2096,科技,数码
15782465,steam游戏资讯,https://space.bilibili.com/15782465,3535.2,1090252,793,136,游戏,单机游戏
304578055,Mr迷瞪,https://space.bilibili.com/304578055,3542.6,1088769,223,766,生活,家居房产
3040178,凌识啊,https://space.bilibili.com/3040178,3556,1088663,218,1005,游戏,单机游戏
578425533,往往老布,https://space.bilibili.com/578425533,3539.8,1088282,242,549,影视,短片
189866857,国防时报TV,https://space.bilibili.com/189866857,3548.7,1087071,4292,374,知识,社科·法律·心理
13337125,GoldenEggs,https://space.bilibili.com/13337125,3546.6,1086427,94,759,游戏,单机游戏
508959410,硬核奇点,https://space.bilibili.com/508959410,3540.5,1085737,47,312,知识,人文历史
353609978,撸sir兰陵君,https://space.bilibili.com/353609978,3537.8,1084567,374,1982,游戏,电子竞技
649661652,胖龙的小生活,https://space.bilibili.com/649661652,3547.2,1083925,783,3276,美食,美食记录
20457232,一只吐槽圆,https://space.bilibili.com/20457232,3548.3,1083291,201,198,娱乐,娱乐杂谈
451959062,阿緯超勇der,https://space.bilibili.com/451959062,3534.6,1079238,31,10,生活,日常
230926815,阿星and阿奇,https://space.bilibili.com/230926815,3534.5,1077475,144,73,生活,搞笑
2460656,银临,https://space.bilibili.com/2460656,3567.1,1077202,76,2911,音乐,原创音乐
41273726,一之濑asuka,https://space.bilibili.com/41273726,3543.4,1076380,299,1487,生活,日常
451645162,跑步的子章老师,https://space.bilibili.com/451645162,3548.8,1076296,241,373,时尚,健身
17364274,阿狗君啊,https://space.bilibili.com/17364274,3539.8,1075031,250,138,时尚,美妆
2063605,机智的碎月,https://space.bilibili.com/2063605,3537.6,1074785,155,397,生活,搞笑
489117797,C戈体态矫正,https://space.bilibili.com/489117797,3551.8,1072877,129,130,时尚,健身
216844,玩偶菌,https://space.bilibili.com/216844,3547.3,1071011,505,4363,动画,综合
1271916102,上将王司徒,https://space.bilibili.com/1271916102,3530.6,1070491,109,180,知识,科学科普
17603188,雷雨Lyy,https://space.bilibili.com/17603188,3539.6,1070099,828,3675,游戏,网络游戏
7375428,Tocci椭奇,https://space.bilibili.com/7375428,3556.1,1070083,130,2102,舞蹈,明星舞蹈
3816626,Linksphotograph,https://space.bilibili.com/3816626,3550,1067036,275,3484,科技,数码
699492406,梁永安,https://space.bilibili.com/699492406,3544.2,1066682,122,383,知识,社科·法律·心理
373103803,树林同学-,https://space.bilibili.com/373103803,3551,1066523,90,648,知识,校园学习
349888821,KleinerPixel,https://space.bilibili.com/349888821,3540.4,1065756,113,646,时尚,美妆
297344797,朵朵花林,https://space.bilibili.com/297344797,3546.7,1064804,111,428,时尚,美妆
1823466601,5天秒杀1万词,https://space.bilibili.com/1823466601,3529.6,1064512,9,343,知识,校园学习
